gene_A,gene_B,pvalue,qvalue_BH,qvalue_BO,gene_B_around,gene_B_slice,gene_around,gene_slice,gene_A_N,gene_B_N,pair,enrichment_ratio,support_ratio
Slc6a1,Slc6a11,5.028623774964801e-13,2.665170600731344e-10,2.665170600731344e-10,17,270,1203,213372,442,270,Slc6a1_Slc6a11,11.167525630368523,0.06296296296296296
Grm7,Itpr1,4.841725775643655e-13,2.7936757725463895e-10,2.793675772546389e-10,23,706,2740,607714,1114,706,Grm7_Itpr1,7.225565021401543,0.032577903682719546
Dapk1,Ntrk2,4.882074990242678e-13,2.8169572693700253e-10,2.8169572693700253e-10,34,1463,3914,783203,1493,1463,Dapk1_Ntrk2,4.650376463758923,0.02323991797676008
Usp15,Avpr1a,6.480255835651793e-13,3.039239986920691e-10,3.0392399869206905e-10,11,137,511,169097,196,137,Avpr1a_Usp15,26.569728741411573,0.08029197080291971
Plpp3,Cst3,3.233857373072959e-12,3.662343475005126e-10,1.4649373900020504e-09,64,3361,2531,359474,926,3361,Cst3_Plpp3,2.7044988468489097,0.06911447084233262
Ptpn13,Slc10a6,4.75845567396212e-12,3.9019336526489386e-10,7.803867305297877e-10,7,41,131,59029,43,41,Ptpn13_Slc10a6,76.93222863526346,0.17073170731707318
Ntsr2,Lpin1,1.422499512207075e-12,4.5235484488184983e-10,4.523548448818499e-10,11,113,496,124721,184,113,Lpin1_Ntsr2,24.477786896945478,0.09734513274336283
Ntrk2,Apoe,1.428228955766044e-12,4.6060383823454923e-10,9.212076764690985e-10,80,5366,4027,659649,1504,5366,Apoe_Ntrk2,2.4421402273379993,0.05319148936170213
Tjp1,Pcsk6,1.2380561941077793e-12,4.890321966725728e-10,4.890321966725728e-10,12,177,635,192412,230,177,Pcsk6_Tjp1,20.543120245562523,0.06779661016949153
Tspan7,Apoe,1.5439130705231854e-12,5.635282707409627e-10,1.1270565414819254e-09,122,5947,7587,744618,2623,5947,Apoe_Tspan7,2.013378091422166,0.046511627906976744
Gabrb3,Ube3a,8.186557467211216e-13,5.755149899449485e-10,5.755149899449485e-10,26,530,4556,558473,1638,530,Gabrb3_Ube3a,6.013342554707042,0.04905660377358491
Cpe,Atp1a2,3.829312353253824e-12,6.059886799024177e-10,2.4239547196096705e-09,47,1582,4100,454948,1608,1582,Atp1a2_Cpe,3.2966229841818016,0.02970922882427307
Mapk10,Ptpn13,1.1271873142113026e-12,6.571502041851894e-10,6.571502041851894e-10,13,158,1082,228089,388,158,Mapk10_Ptpn13,17.344562343526988,0.08227848101265822
Map2k5,Megf11,4.00401613843222e-12,7.227249129870157e-10,1.4454498259740314e-09,8,67,221,96078,85,67,Map2k5_Megf11,51.909502262443446,0.11940298507462686
Pkn2,Gbp2,2.3143239766267263e-12,7.868701520530869e-10,7.868701520530869e-10,8,60,202,83632,80,60,Gbp2_Pkn2,55.2026402640264,0.13333333333333333
